id,age,score_note
1,32,good
2,23,excellent
3,58,poor
4,81,poor
5,26,average
6,35,poor
7,42,poor
8,50,good
9,33,average
10,18,average
11,83,good
12,32,average
13,35,excellent
14,68,poor
15,51,poor
16,71,average
17,77,excellent
18,43,poor
19,19,excellent
20,18,good
21,45,good
22,31,good
23,67,excellent
24,43,excellent
25,73,good
26,33,excellent
27,57,poor
28,26,excellent
29,22,good
30,41,average
31,79,excellent
32,33,poor
33,27,poor
34,27,average
35,40,good
36,82,excellent
37,18,poor
38,40,poor
39,43,poor
40,34,good
41,24,excellent
42,57,excellent
43,48,poor
44,70,excellent
45,69,good
46,33,good
47,69,average
48,39,average
49,41,excellent
50,82,poor
51,62,poor
52,84,good
53,29,good
54,33,average
55,25,average
56,84,good
57,79,excellent
58,62,poor
59,27,excellent
60,38,good
61,39,good
62,66,excellent
63,21,good
64,49,average
65,68,poor
66,45,excellent
67,67,excellent
68,35,average
69,22,excellent
70,46,excellent
71,72,excellent
72,77,poor
73,85,average
74,61,good
75,55,good
76,45,good
77,51,excellent
78,81,good
79,36,good
80,54,excellent
81,24,excellent
82,77,good
83,81,good
84,68,excellent
85,57,poor
86,42,average
87,72,average
88,75,average
89,24,average
90,27,excellent
91,66,good
92,82,good
93,20,poor
94,65,excellent
95,82,excellent
96,35,average
97,59,good
98,21,good
99,19,good
100,79,good
101,26,average
102,39,average
103,76,excellent
104,25,excellent
105,24,average
106,48,good
107,38,poor
108,43,poor
109,58,poor
110,83,excellent
111,39,good
112,65,excellent
113,36,average
114,34,good
115,61,good
116,27,average
117,24,excellent
118,43,poor
119,83,excellent
120,85,average
121,72,average
122,65,average
123,33,average
124,58,poor
125,85,average
126,68,poor
127,60,average
128,72,poor
129,56,poor
130,26,excellent
131,57,average
132,45,average
133,30,excellent
134,22,average
135,49,poor
136,43,excellent
137,59,good
138,78,good
139,59,excellent
140,72,excellent
141,37,good
142,41,poor
143,75,average
144,37,average
145,36,excellent
146,72,poor
147,62,poor
148,73,excellent
149,68,poor
150,77,poor
151,20,poor
152,20,poor
153,66,poor
154,76,good
155,53,average
156,47,average
157,50,excellent
158,26,excellent
159,63,good
160,42,excellent
161,74,excellent
162,79,average
163,30,excellent
164,20,good
165,53,good
166,50,excellent
167,40,poor
168,23,good
169,52,excellent
170,50,average
171,72,average
172,41,average
173,37,good
174,70,good
175,81,poor
176,46,excellent
177,27,excellent
178,83,excellent
179,58,good
180,36,poor
181,69,poor
182,46,excellent
183,24,good
184,31,average
185,34,poor
186,27,poor
187,42,poor
188,66,poor
189,44,average
190,77,poor
191,39,good
192,61,poor
193,75,good
194,81,good
195,26,excellent
196,84,excellent
197,56,good
198,21,excellent
199,69,good
200,70,average
201,27,average
202,22,good
203,58,average
204,23,poor
205,19,excellent
206,30,excellent
207,25,good
208,66,average
209,45,average
210,49,excellent
211,25,excellent
212,31,good
213,57,poor
214,59,poor
215,47,poor
216,23,poor
217,64,average
218,57,good
219,19,poor
220,80,average
221,65,average
222,50,excellent
223,49,good
224,61,poor
225,75,excellent
226,70,good
227,29,good
228,27,average
229,80,good
230,81,good
231,19,excellent
232,63,average
233,85,excellent
234,74,excellent
235,55,excellent
236,84,excellent
237,43,average
238,57,average
239,83,good
240,33,average
241,80,good
242,28,excellent
243,42,excellent
244,82,excellent
245,46,average
246,58,poor
247,27,excellent
248,64,good
249,51,excellent
250,36,good
251,80,poor
252,24,good
253,82,average
254,26,excellent
255,65,good
256,36,average
257,81,excellent
258,46,good
259,53,good
260,61,excellent
261,62,good
262,47,excellent
263,83,excellent
264,84,average
265,72,poor
266,53,good
267,30,average
268,40,excellent
269,19,poor
270,83,excellent
271,62,poor
272,45,poor
273,49,excellent
274,34,excellent
275,76,average
276,49,excellent
277,52,good
278,34,good
279,26,average
280,45,excellent
281,71,average
282,38,good
283,54,excellent
284,78,poor
285,18,average
286,62,excellent
287,62,poor
288,24,good
289,64,poor
290,45,excellent
291,34,excellent
292,42,average
293,84,average
294,43,excellent
295,57,good
296,51,poor
297,65,poor
298,28,poor
299,54,poor
300,36,poor
301,75,poor
302,55,poor
303,66,average
304,71,good
305,42,good
306,57,poor
307,38,poor
308,71,average
309,51,excellent
310,58,excellent
311,69,average
312,74,poor
313,82,poor
314,53,good
315,36,excellent
316,38,excellent
317,42,average
318,25,excellent
319,48,good
320,30,average
321,66,good
322,69,average
323,52,poor
324,83,average
325,55,good
326,43,good
327,64,poor
328,71,poor
329,46,good
330,25,average
331,64,good
332,40,average
333,62,poor
334,73,good
335,82,excellent
336,75,excellent
337,62,good
338,22,excellent
339,67,average
340,52,excellent
341,68,average
342,59,poor
343,35,excellent
344,33,average
345,61,poor
346,29,excellent
347,35,good
348,67,excellent
349,40,good
350,39,average
351,54,good
352,24,good
353,74,excellent
354,18,excellent
355,48,excellent
356,37,average
357,73,good
358,42,excellent
359,28,excellent
360,58,average
361,23,poor
362,67,excellent
363,53,excellent
364,44,good
365,79,good
366,84,good
367,38,average
368,80,excellent
369,39,good
370,64,good
371,74,poor
372,83,excellent
373,59,average
374,74,poor
375,69,average
376,80,poor
377,26,excellent
378,62,good
379,72,good
380,44,excellent
381,41,excellent
382,39,good
383,25,average
384,30,excellent
385,80,average
386,52,average
387,41,excellent
388,37,good
389,54,poor
390,70,excellent
391,36,average
392,70,poor
393,32,good
394,37,poor
395,29,good
396,47,poor
397,61,good
398,42,average
399,34,average
400,45,average
401,82,excellent
402,37,good
403,80,good
404,73,excellent
405,54,excellent
406,68,poor
407,39,poor
408,41,good
409,30,average
410,70,good
411,33,excellent
412,81,excellent
413,64,poor
414,72,excellent
