,id,eventlogstable_id,created_at,field_change
0,294561920,7702929,2024-10-03 12:45:56,"{'requested_by': 'client', 'description': '...', 'isEdition': False}"
1,294835383,7479683,2024-10-03 21:19:29,"{'requested_by': 'client', 'description': '<p>...</p>', 'isEdition': False}"
2,291865460,7818709,2024-09-24 19:21:45,"{'requested_by': 'client', 'description': '...', 'isEdition': False}"
3,295382605,7818709,2024-10-07 13:23:48,"{'requested_by': 'client', 'description': '...', 'isEdition': False}"
4,296240962,7818709,2024-10-09 14:04:11,"{'requested_by': 'client', 'description': '...', 'isEdition': False}"
5,296429777,7818709,2024-10-09 19:54:59,"{'requested_by': 'client', 'description': '...', 'isEdition': False}"
6,289250880,7711053,2024-09-13 21:01:38,"{'requested_by': 'client', 'description': '...', 'isEdition': False}"
7,292677952,7672430,2024-09-26 20:01:21,"{'requested_by': 'client', 'description': '<p>Olá!</p><p>Tudo bem?</p><p>&nbsp;</p>...</p></p></p>', 'isEdition': False}"
8,295434003,7672430,2024-10-07 14:48:15,"{'requested_by': 'client', 'description': '<p>Olá!<br>Tudo bem?<br><br>Conforme conversamos na sexta-feira, precisamos fazer alguns ajustes para apresentação de hoje:<br><br>- Organizar a apresentação trazendo a...</br></br></br></br></br></p>', 'isEdition': False}"
9,296214730,7672430,2024-10-09 13:01:02,"{'requested_by': 'client', 'description': '<p>Olá!</p><p>Tudo bem?</p><p>Conforme alinhado em reunião, precisamos seguir com alguns...</p></p></p>', 'isEdition': False}"
10,297351790,7672430,2024-10-14 13:51:09,"{'requested_by': 'client', 'description': '<p>Olá!<br>Tudo bem?<br><br>Precisamos correr com algumas artes para o projeto Senna:<br><br>- Artes do crachá e camiseta - OK, Adriana entregou;<br><br>- Desenvolver telas...</br></br></br></br></br></br></br></p>', 'isEdition': False}"
11,298953367,7672430,2024-10-18 17:10:06,"{'requested_by': 'client', 'description': '...', 'isEdition': False}"
12,292207183,7810773,2024-09-25 17:37:56,"{'requested_by': 'client', 'description': '<p>Oie time,&nbsp;</p><p>&nbsp;Replicando a mensagem da Ju,...</p></p>', 'isEdition': False}"
13,293317838,7810773,2024-09-30 15:07:00,"{'requested_by': 'client', 'description': '...', 'isEdition': False}"
14,294603146,7810773,2024-10-03 14:23:38,"{'requested_by': 'client', 'description': '<p>Bom dia time,</p><p>Tudo bom?</p><p><br>Segue abaixo ajustes solicitados...</br></p></p></p>', 'isEdition': False}"
15,293961172,7851694,2024-10-01 19:42:37,"{'requested_by': 'client', 'description': '<p>ajuste acima</p>', 'isEdition': False}"
