,task_id,title,project_id,task_father,status,father,project,labels,reworks,lastReworks
0,6966131,iFood_INSTITUCIONAL_Gestão da Conta,437599,,en_proceso,,"{'id': 437599, 'name': 'INSTITUCIONAL', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],[],[]
1,7938044,PROMO OUTUBRO_MÍDIA_planejamento_Estratégia de Mídia,502689,7938037.0,finalizada,"{'id': 7938037, 'title': 'PROMO OUTUBRO_MÍDIA_planejamento'}","{'id': 502689, 'name': 'PROMOÇÕES', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],[],[]
2,7780509,KFC | ESTRATÉGIA 2025 | PLANEJAMENTO | APRE ESTRATÉGIA,512286,7773911.0,finalizada,"{'id': 7773911, 'title': 'KFC | ESTRATÉGIA 2025'}","{'id': 512286, 'name': 'ESTRATÉGIA 2025', 'client_id': 69244, 'client': {'id': 69244, 'name': 'KFC', 'client_status_id': 1}}",[],[],[]
3,7765698,IFO0013/2024 Groceries 2024_NOVEMBRO_ESTUDO_OOHs,445923,7763092.0,finalizada,"{'id': 7763092, 'title': 'IFO0013/2024 Groceries 2024_NOVEMBRO DE OFERTAS RELÂMPAGO'}","{'id': 445923, 'name': 'GROCERIES 2024', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],[],[]
4,7938044,PROMO OUTUBRO_MÍDIA_planejamento_Estratégia de Mídia,502689,7938037.0,finalizada,"{'id': 7938037, 'title': 'PROMO OUTUBRO_MÍDIA_planejamento'}","{'id': 502689, 'name': 'PROMOÇÕES', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],[],[]
5,7846252,iFood_BLACK FRIDAY_PLANEJAMENTO_Conceito e Ideação,516378,7939845.0,finalizada,"{'id': 7939845, 'title': 'iFood_BLACK FRIDAY_PLANEJAMENTO'}","{'id': 516378, 'name': 'BLACK FRIDAY 2024', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],[],[]
6,7852946,Planejamento e Criacao dos trabalhos,508362,,finalizada,,"{'id': 508362, 'name': 'CONCORRENCIA MOVIDA', 'client_id': 58404, 'client': {'id': 58404, 'name': 'DM9', 'client_status_id': 1}}",[],[],[]
7,6567786,HORAS NÃO ALOCADAS EM CLIENTE ,443452,,en_proceso,,"{'id': 443452, 'name': 'HORAS NÃO ALOCADAS EM CLIENTE', 'client_id': 58404, 'client': {'id': 58404, 'name': 'DM9', 'client_status_id': 1}}",[],[],[]
8,7890539,ENTREGÁVEIS - VIC GAIBAR,488595,7550413.0,finalizada,"{'id': 7550413, 'title': 'SOCIAL E CONTEÚDO'}","{'id': 488595, 'name': 'REXONA CLINICAL - SUPERSWEATERS', 'client_id': 66547, 'client': {'id': 66547, 'name': 'UNILEVER', 'client_status_id': 1}}",[],[],[]
9,7904778,AON 2024_CONTEÚDOS_OUTUBRO_Calendário AON_Estratégia,438208,7867006.0,en_proceso,"{'id': 7867006, 'title': 'AON 2024_CONTEÚDOS_OUTUBRO_Calendário AON'}","{'id': 438208, 'name': 'AON 2024', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],[],[]
10,7947205,AON 2024_CONTEÚDOS_OUTUBRO_GESTÃO,438208,7866914.0,en_proceso,"{'id': 7866914, 'title': 'AON 2024_CONTEÚDOS_OUTUBRO'}","{'id': 438208, 'name': 'AON 2024', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],[],[]
11,7702929,MKT DO SEU JEITO/CENTRAL DE CRESCIMENTO | PLANO 360 | Planejamento,433420,7697996.0,en_diseno,"{'id': 7697996, 'title': 'MKT DO SEU JEITO/CENTRAL DE CRESCIMENTO - LANÇAMENTO l PLANO 360'}","{'id': 433420, 'name': 'CENTRAL DE CRESCIMENTO', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],"[{'id': 294561920, 'eventlogstable_id': 7702929, 'created_at': '2024-10-03 12:45:56', 'field_change': {'requested_by': 'client', 'description': '...', 'isEdition': False}}]","[{'id': 658132, 'task_log_id': 7702929, 'user_id': 51578, 'contact_id': None, 'date': '2024-10-03T00:00:00.000Z', 'source': 'client', 'description': '<p><span class=""mention user-mention-52882"" id=""mention-item"" data-mention=""@MIGUEL SOUZA"" data-user-id=""52882"" data-mail=""miguel.souza@dm9.com.br"">@MIGUEL SOUZA</span> &nbsp;e <span class=""mention user-mention-61406"" id=""mention-item"" data-mention=""@RAFAELA CERQUEIRA"" data-user-id=""61406"" data-mail=""rafaela.cerqueira@dm9.com.br"">@RAFAELA CERQUEIRA</span>&nbsp;<br><br><strong>Mensagem estratégica</strong></p><p><strong>- tentar uma versão sem o ""chegou""</strong></p><p>- o termo alavancar precisa ser evitado, tentar encontrar sinônimos para essa palavra e substituir na mensagem estratégica</p><p>&nbsp;</p><p>&nbsp;</p><p><strong>Linhas criativas&nbsp;</strong></p><p>Linha 1 &gt; Tentar incluir exemplos de influenciadores que estejam mais conectados ao mundo da comida e que façam pratos mais elaborados para ficar mais linkado ao mundo da comida. A ideia é ficar mais próximo do mundo dos restaurantes.&nbsp;</p><p>&nbsp;</p><p>Linha 2 &gt; Vamos atrás dos orçamentos.</p><p>&nbsp;</p><p>Linha 3 &gt; Trazer algumas referências de ilustrações que gostaríamos de seguir e orçar internamente.&nbsp;</p><p>&nbsp;</p><p><strong>Ajustes mensagens:</strong></p><p>- substituir a palavra ""alavanca"" nos copys por outra</p><p>- deixar mais tangível os benefícios ""simples"" e ""transparente"", que é uma promessa comum de produtos de tecnologia e trazer mais dos benefícios que essas novidades trazem para os restaurantes como: navegação intuitiva, iFood vai te mostrar quanto você está tendo de retorno a cada real investido (transparência). Precisamos deixar claro o que mudou para os restaurantes na descida + tática</p><p>- rever todas as propostas de textos - aumento de venda, etc. colocar <strong>""até""</strong> para não correr risco de promessa não cumprida.&nbsp;</p><p>- colocar na fase de conversão / consideração os big numbers do stand do cubo (estou pegando esse documento com o cliente)&nbsp;</p><p>- mensagem heavy users - incluir alguma forma de inserir o conceito de um ecossistema do iFood na mensagem para mostrar um benefício maior.</p><p>- incluir target de usuários ativos - confirmando com o cliente</p><p>&nbsp;</p>', 'field_change': {'requested_by': 'client', 'description': '<p><span class=""mention user-mention-52882"" id=""mention-item"" data-mention=""@MIGUEL SOUZA"" data-user-id=""52882"" data-mail=""miguel.souza@dm9.com.br"">@MIGUEL SOUZA</span> &nbsp;e <span class=""mention user-mention-61406"" id=""mention-item"" data-mention=""@RAFAELA CERQUEIRA"" data-user-id=""61406"" data-mail=""rafaela.cerqueira@dm9.com.br"">@RAFAELA CERQUEIRA</span>&nbsp;<br><br><strong>Mensagem estratégica</strong></p><p><strong>- tentar uma versão sem o ""chegou""</strong></p><p>- o termo alavancar precisa ser evitado, tentar encontrar sinônimos para essa palavra e substituir na mensagem estratégica</p><p>&nbsp;</p><p>&nbsp;</p><p><strong>Linhas criativas&nbsp;</strong></p><p>Linha 1 &gt; Tentar incluir exemplos de influenciadores que estejam mais conectados ao mundo da comida e que façam pratos mais elaborados para ficar mais linkado ao mundo da comida. A ideia é ficar mais próximo do mundo dos restaurantes.&nbsp;</p><p>&nbsp;</p><p>Linha 2 &gt; Vamos atrás dos orçamentos.</p><p>&nbsp;</p><p>Linha 3 &gt; Trazer algumas referências de ilustrações que gostaríamos de seguir e orçar internamente.&nbsp;</p><p>&nbsp;</p><p><strong>Ajustes mensagens:</strong></p><p>- substituir a palavra ""alavanca"" nos copys por outra</p><p>- deixar mais tangível os benefícios ""simples"" e ""transparente"", que é uma promessa comum de produtos de tecnologia e trazer mais dos benefícios que essas novidades trazem para os restaurantes como: navegação intuitiva, iFood vai te mostrar quanto você está tendo de retorno a cada real investido (transparência). Precisamos deixar claro o que mudou para os restaurantes na descida + tática</p><p>- rever todas as propostas de textos - aumento de venda, etc. colocar <strong>""até""</strong> para não correr risco de promessa não cumprida.&nbsp;</p><p>- colocar na fase de conversão / consideração os big numbers do stand do cubo (estou pegando esse documento com o cliente)&nbsp;</p><p>- mensagem heavy users - incluir alguma forma de inserir o conceito de um ecossistema do iFood na mensagem para mostrar um benefício maior.</p><p>- incluir target de usuários ativos - confirmando com o cliente</p><p>&nbsp;</p>', 'deadline': '2024-10-11 21:00:00', 'reason': 'adjustment', 'assignedTo': [52882, 61406], 'assignedUsers': [{'id': 52882, 'firstName': 'MIGUEL', 'lastName': 'SOUZA', 'picture': 'c-3898-13535399938.jpeg', 'remainingHours': 100, 'roleId': 4, 'email': 'miguel.souza@dm9.com.br'}, {'id': 61406, 'firstName': 'RAFAELA', 'lastName': 'CERQUEIRA', 'picture': 'c-3898-192844779799.jpeg', 'remainingHours': 100, 'roleId': 4, 'email': 'rafaela.cerqueira@dm9.com.br'}], 'isEdition': False, 'attachments': '[]'}, 'company_id': 3898, 'created_at': '2024-10-03 12:45:56', 'updated_at': '2024-10-03 12:45:56', 'deleted_at': None, 'reason': 'adjustment', 'deadline': '2024-10-11T21:00:00.000Z', 'attachments': []}]"
12,7828077,ENTREGAS DE CALENDARIO - DEZEMBRO | PLANEJAMENTO,433475,7817886.0,finalizada,"{'id': 7817886, 'title': 'ENTREGAS DE CALENDARIO - DEZEMBRO'}","{'id': 433475, 'name': 'ENTREGAS DE CALENDÁRIO', 'client_id': 58231, 'client': {'id': 58231, 'name': 'IFOOD', 'client_status_id': 1}}",[],[],[]
